diameter,dfec
1e-07,21.10154732706431
2e-07,42.343163661491346
3e-07,63.55508083167831
4e-07,84.75861652955872
5e-07,105.9588310891619
6e-07,127.15759261604445
7e-07,148.35545952077732
8e-07,169.55270354120802
9e-07,190.74958886594032
1e-06,211.94623297769826
1.1e-06,233.1426644124465
1.2e-06,254.33894803832018
1.2999999999999998e-06,275.5351363877398
1.3999999999999997e-06,296.73123258508144
1.5e-06,317.92725105088954
1.6e-06,339.12322106732046
1.6999999999999998e-06,360.3191462672553
1.7999999999999997e-06,381.51502544736155
1.9e-06,402.7108745790809
2e-06,423.90670034825655
2.1e-06,445.1024975805749
2.1999999999999997e-06,466.2982731866773
2.3e-06,487.49403578131586
2.4e-06,508.68978082775374
2.4999999999999998e-06,529.8855085444874
2.5999999999999997e-06,551.0812282685702
2.6999999999999996e-06,572.2769385546147
2.8e-06,593.4726327912731
2.8999999999999998e-06,614.6683200070901
2.9999999999999997e-06,635.8526392991718
3.1e-06,656.437827040286
3.2e-06,675.7174876595656
3.2999999999999997e-06,693.4823272922322
3.3999999999999996e-06,709.6859218721244
3.4999999999999995e-06,724.3562873071668
3.6e-06,737.5590845693047
3.6999999999999997e-06,749.3786589314628
3.7999999999999996e-06,759.9074090785454
3.9e-06,769.2396126212356
4e-06,777.467814775542
4.1e-06,784.6807538263397
4.2e-06,790.9622351500257
4.2999999999999995e-06,796.3905981342212
4.399999999999999e-06,801.0385526318443
4.5e-06,804.9732444568792
4.6e-06,808.2564593689547
4.7e-06,810.9449053026267
4.8e-06,813.0905360592202
4.9e-06,814.740891138566
4.9999999999999996e-06,815.9394338259734
5.0999999999999995e-06,816.7258811627997
5.199999999999999e-06,817.1365173489403
5.299999999999999e-06,817.2044873838232
5.4e-06,816.9600709487565
5.5e-06,816.4309352491289
5.6e-06,815.6423669769343
5.7e-06,814.6174844776208
5.7999999999999995e-06,813.3774318014298
5.899999999999999e-06,811.941555368855
5.999999999999999e-06,810.3275642384372
6.1e-06,808.5516759704286
6.2e-06,806.6287492172518
6.3e-06,804.5724036513639
6.4e-06,802.3951288287865
6.5e-06,800.1083832720801
6.5999999999999995e-06,797.7226841227691
6.699999999999999e-06,795.2476883735264
6.799999999999999e-06,792.6922669149278
6.899999999999999e-06,790.0645716689395
7e-06,787.3720963598032
7.1e-06,784.6217320861806
7.2e-06,781.8198179394005
7.2999999999999996e-06,778.9721866429943
7.3999999999999995e-06,776.084206263538
7.499999999999999e-06,773.1608186344093
7.599999999999999e-06,770.2065740068093
7.7e-06,767.225662449641
7.8e-06,764.2219430924085
7.9e-06,761.1989706443629
8e-06,758.1600192082313
8.1e-06,755.1081046707121
8.200000000000001e-06,752.0460050234366
8.3e-06,748.9762786273147
8.400000000000001e-06,745.9012814807104
8.5e-06,742.8231827127457
8.6e-06,739.743978912837
8.7e-06,736.6655073360471
8.8e-06,733.5894578384086
8.900000000000001e-06,730.517384278511
9e-06,727.4507144265086
9.100000000000001e-06,724.3907595789985
9.2e-06,721.3387232242048
9.3e-06,718.2957089415381
9.4e-06,715.2627278753671
9.5e-06,712.240705447136
9.6e-06,709.2304877897029
9.7e-06,706.2328473159182
9.800000000000001e-06,703.2484883324014
9.9e-06,700.27805180624
