energy,efficiency
1,1.0
2,1.0
3,1.0
4,1.0
5,0.999999999977046
6,0.9999995789589776
7,0.999927472382636
8,0.9985776641629275
9,0.9905667162625181
10,0.9667700305396784
11,0.9228682812773507
12,0.8617676830618255
13,0.7902115465337277
14,0.7150438855242578
15,0.6413945459261821
16,0.5724122990031394
17,0.5096424283178821
18,0.45356912614108025
19,0.4040448879173987
20,0.36063995437487883
21,0.32279257030866426
22,0.2897601036333626
23,0.2608993351585317
24,0.2358207308746605
25,0.2138399897574469
26,0.1945723997238038
27,0.17742677179184874
28,0.16217005910217852
29,0.14875220973898962
30,0.13677000130155448
31,0.12629380838404158
32,0.11686629210370147
33,0.10858770298373732
34,0.10110416953785839
35,0.09446111034808535
36,0.08846453720208958
37,0.08305007330904979
38,0.07821317500951486
39,0.07376186797308704
40,0.06974464570059602
41,0.06604964496107812
42,0.0626431265072368
43,0.059625092792854884
44,0.05681263127298375
45,0.054218906946012835
46,0.05190470372704736
47,0.04973338027066032
48,0.04770865512037703
49,0.04591074949287799
50,0.044213362874757633
51,0.0426091387622205
52,0.041177224944378144
53,0.03983712691860919
54,0.03856362738099506
55,0.037378164427990246
56,0.03631195206495019
57,0.035293681751148
58,0.03432044188286343
59,0.03342758477089136
60,0.03260775570032037
61,0.03182076726020222
62,0.031064812491856553
63,0.03036754649929585
64,0.029728283600708116
65,0.02911188098544648
66,0.028517196003093437
67,0.027951303131755423
68,0.027447287832930267
69,0.026959397936337837
70,0.02648689915617708
71,0.02602910029603389
72,0.025607935273920246
73,0.025217640074658987
74,0.024838408707108406
75,0.02446978648734688
76,0.024111343059596613
77,0.023782755892861496
78,0.02347512332640611
79,0.02317526699948358
