energy,efficiency
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,0.9999999999999825
18,0.9999999999978377
19,0.9999999998977905
20,0.9999999976747677
21,0.9999999700414611
22,0.9999997512399497
23,0.9999985391550263
24,0.9999935630837316
25,0.9999772991476203
26,0.9999334113286236
27,0.9998301830958145
28,0.9996156688230327
29,0.9992212865630234
30,0.9985506313529964
31,0.9975224731302456
32,0.9960081329861391
33,0.9939567294305262
34,0.9912372890368327
35,0.9878448510143655
36,0.9837010872042122
37,0.978793353086802
38,0.973206955410618
39,0.9668100231329878
40,0.9597708124859421
41,0.9520203139883731
42,0.9435931397289801
43,0.9349302409176161
44,0.9256944666571814
45,0.9160486073568976
46,0.9064164228042962
47,0.8964012780033429
48,0.8861226880398425
49,0.8761646693040811
50,0.8659849642667838
51,0.8556145437720838
52,0.8456982944908757
53,0.8358165841420384
54,0.8258541015122574
55,0.8160506885962595
56,0.8067740487664284
57,0.7974883991451088
58,0.7882064117553597
59,0.7793261017508565
60,0.7708522421060967
61,0.7624190124928103
62,0.7540330281066695
63,0.7460419961429088
64,0.7384930767072935
65,0.7310065997379576
66,0.7235855233636301
67,0.7163381082065725
68,0.7097270035731711
69,0.703184060147207
70,0.696710208869415
71,0.690306208617756
72,0.6842980487824639
73,0.6786286377972315
74,0.6730246639600568
75,0.6674859628660719
76,0.6620123022510205
77,0.656917249981332
78,0.6520791132687014
79,0.647299116406182
80,0.6425766711109069
81,0.63791117024738
82,0.633454256045052
83,0.6293402870571493
84,0.6252759260547404
85,0.6212604759320132
86,0.6172932420370432
87,0.6133735330311162
88,0.6097590464177667
89,0.6062926968638742
90,0.6028672600656748
91,0.5994820788618472
92,0.5961365063455689
93,0.5928299059139386
94,0.589771327612598
95,0.5868431254228483
96,0.5839482649905074
97,0.5810861829225238
98,0.5782563273376081
99,0.5754581576471534
100,0.5727511297282966
101,0.5702551790896196
102,0.5677864450047554
103,0.5653444629389313
104,0.562928778743871
105,0.5605389483881678
106,0.5581745376946107
107,0.5559042822895688
108,0.5537775769957451
109,0.5516728616573052
110,0.5495897673343042
111,0.547527933515239
112,0.5454870078788443
113,0.5434666460636493
114,0.5414676146296711
115,0.5396463684910291
116,0.5378429442055956
117,0.5360570511107954
118,0.5342884051419856
119,0.5325367286422621
120,0.5308017501788367
121,0.5290832043657321
122,0.5273974682140199
123,0.5258280509102997
124,0.5242730850475424
125,0.5227323447026688
126,0.5212056089299351
127,0.5196926616199999
128,0.5181932913638461
129,0.5167072913213564
130,0.5152344590943586
131,0.51384039113396
132,0.5124822879077597
133,0.5111358990271524
134,0.5098010506112574
135,0.5084775724449893
136,0.507165297879091
137,0.5058640637335041
138,0.5045737102039394
139,0.5032940807715338
140,0.5020762027450626
141,0.5008857364807058
142,0.4997049155392619
143,0.49853360406390623
144,0.49737166892983586
145,0.49621897967293205
146,0.49507540842071573
147,0.4939408298255
148,0.4928151209996594
149,0.49170512141792033
150,0.49064771578937993
151,0.4895983833522607
152,0.4885570161390195
153,0.4875235082508623
154,0.48649775580615373
155,0.48547965689041006
156,0.4844691115078238
157,0.4834660215342471
158,0.4824702906716035
159,0.4814818244036567
