material,energy,delta,beta
Au,136,1.7212674998644187e-07,3.2734176061002855e-09
Si,136,2.604042617871174e-08,2.600112214352986e-11
C,137,2.208791259709056e-08,1.963741341731747e-11
O,137,1.5793698451492556e-11,1.4072244166743325e-14
Au,137,1.6962903219853155e-07,3.189947507207925e-09
Si,137,2.566159103741829e-08,2.5715146134798796e-11
C,138,2.1768952545331805e-08,1.9449153176044772e-11
O,138,1.5565624508933927e-11,1.3931347217544818e-14
Au,138,1.671845154302581e-07,3.1091898719753273e-09
Si,138,2.5290963747899397e-08,2.5434361159753864e-11
C,139,2.1456851899970826e-08,1.9264037583794764e-11
O,139,1.534245557384541e-11,1.3792863092272042e-14
Au,139,1.6479173267724614e-07,3.031037847830578e-09
Si,139,2.4928308879834952e-08,2.515863639080049e-11
C,140,2.1151413321582366e-08,1.9081552753015794e-11
O,140,1.5124053474669283e-11,1.365671458574624e-14
Au,140,1.6244187280903204e-07,2.955675614921021e-09
Si,140,2.457339996260732e-08,2.4891514200334507e-11
C,141,2.0852452538870396e-08,1.8901928378001602e-11
O,141,1.491028036454003e-11,1.3522858330006092e-14
Au,141,1.601519501837251e-07,2.8827990201871974e-09
Si,141,2.4226013734933757e-08,2.463033954476978e-11
C,142,2.0559785717522362e-08,1.8725246494110667e-11
O,142,1.4701007906265594e-11,1.339124620920382e-14
Au,142,1.579095841378101e-07,2.8122154403491335e-09
Si,142,2.388594259957043e-08,2.437372212705414e-11
C,143,2.0273237413528623e-08,1.8551438682988362e-11
O,143,1.449611064142294e-11,1.326182519053315e-14
Au,143,1.5571348130181524e-07,2.7438373333788084e-09
Si,143,2.355298259708926e-08,2.4121551168318744e-11
C,144,1.999263825358687e-08,1.838043858067834e-11
O,144,1.429546745275647e-11,1.3134543853541816e-14
Au,144,1.5356239238946723e-07,2.677581078998091e-09
Si,144,2.322693682652648e-08,2.387371933187491e-11
C,145,1.9717824684767132e-08,1.8212181802208033e-11
O,145,1.4098961385161622e-11,1.3009352330343858e-14
Au,145,1.514551103982696e-07,2.613366777380839e-09
Si,145,2.2907615154286643e-08,2.3630122593293652e-11
C,146,1.9448638736138062e-08,1.8046605869439677e-11
O,146,1.390647947522216e-11,1.2886202248443047e-14
Au,146,1.4939046889543074e-07,2.5511180594838288e-09
Si,146,2.259483393695643e-08,2.3390660116244356e-11
C,147,1.9184927791705482e-08,1.788365014202363e-11
O,147,1.3717912588836963e-11,1.2765046676035839e-14
Au,147,1.4736734038453608e-07,2.490761908261085e-09
Si,147,2.2288415757273694e-08,2.3155234133798835e-11
C,148,1.8926544374054095e-08,1.7723255751301748e-11
O,148,1.3533155266500781e-11,1.2645840069670814e-14
